Salida					Destino								Distancia - Fórmula		Distancia - plataforma		Costo Trayecto							
Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	delta lat	delta long	a	distancia (km)	distancia (mi)	distancia (km)	distancia (mi)	Flete	BAF	CAF 	THC O	DOC 	THC D	LSS	Total 
Callao	-12,05226	-77,13911	-0,210351619	-1,346331452	Busan	35,10168	129,03004	0,612639889	2,251999032	77,75174989	2,462350651	0,72949112	13045,55033	7044,033657	12900	6965,442765	650	386	35,75	75	55	106,51	75	1383,26
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Ningbo	29,87819	121,62039	0,52147279	2,122676243	76,03591279	1,941166888	0,684749055	12418,76843	6705,598507	17246	9312,095032	482	208	26,51	110	30	90,78	75	1022,29
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	La Guaira	10,59574	-66,95663	0,18493055	-1,16861365	75,69937055	-1,350123005	0,403809238	8774,191516	4737,684404	2180	1177,105832	835	149	45,93	110	30	350	75	1594,925
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Manzanillo (Mx)	19,11695	-104,34214	0,33365372	-1,821113892	75,84809372	-2,002623247	0,715378512	12844,75005	6935,610177	13122	7085,313175	850	149	46,75	110	30	303,82	75	1564,57
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Puerto Cortes	15,82562	-87,92968	0,276209175	-1,534662426	75,79064918	-1,716171782	0,585027501	11096,25481	5991,498277	4704	2539,956803	1040	149	57,20	110	30	250	75	1711,2
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	75,69594936	-1,499484966	0,475661899	9697,304716	5236,125657	0	0								
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Puerto Cortes	15,82562	-87,92968	0,276209175	-1,534662426	75,79064918	-1,716171782	0,585027501	11096,25481	5991,498277	4704	2539,956803	1040	149	57,20	110	30	250	75	1711,2
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Puerto Barrios	15,72778	-88,59444	0,274501545	-1,546264677	75,78894155	-1,727774032	0,590448607	11166,41963	6029,384251	1701	918,4665227	800	149	44,00	110	30	180	75	1388
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Houston	29,75757	-95,3512	0,519367574	-1,664192386	76,03380757	-1,845701741	0,645811137	11892,86496	6421,63335	3052	1647,948164	800	386	44,00	110	30	440	75	1885
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Barcadera	12,51106	-69,97422	0,21835919	-1,221280531	75,73279919	-1,402789886	0,431486888	9131,794066	4930,774333	1170	631,74946	1100	149	60,50	110	30	200	75	1724,5
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	75,69594936	-1,499484966	0,475661899	9697,304716	5236,125657	0	0								
