Salida					Destino								Distancia - Fórmula		Distancia - plataforma		Costo Trayecto							
Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	delta lat	delta long	a	distancia (km)	distancia (mi)	distancia (km)	distancia (mi)	Flete	BAF	CAF 	THC O	DOC 	THC D	LSS	Total 
Miami	25,77417	-80,17111	0,449844128	-1,399249834	Oakland	37,76990	-122,22600	0,659209113	-2,133246132	80,83031911	-2,58309026	0,214579555	6136,972056	3313,699814	7800	4211,663067	1400	178	77,00	440	50	420	75	2640
Miami	25,77417	-80,17111	0,449844128	-1,399249834	Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	80,32708833	-1,838698607	0,430373851	9117,474459	4923,042364	1000	539,9568035	1400	178	77,00	440	50	200	75	2420
Moin Apm Terminals	10,0042	-83,07670	0,174606229	-1,449961947	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	83,25821	-1,49258184	0,582161349	11059,21288	5971,497234	1100	593,9524838	820	371	45,10	175	60	110	75	1656,1
Moin Apm Terminals	10,0042	-83,07670	0,174606229	-1,449961947	Caucedo	18,42423	-69,6345	0,321563476	-1,215351298	83,39826	-1,389957527	0,64070063	11824,89706	6384,933617	1617	873,1101512	820	371	45,10	175	60	150	75	1696,1
Montevideo	-34,90111	-56,16453	-0,609139282	-0,980255971	Halifax	51,21989	44,0346	0,893955723	0,768548755	57,05848572	1,377688037	0,298207006	7360,820806	3974,525273	8765	4732,721382	3505	386	192,78	270	57	420	75	4905,775
Montoir De Bretagne	47,32660	-2,14998	0,826004994	-0,03752423	Southampton	50,89700	-1,40416	0,888320229	-0,024507215	3,038300229	-0,850512209	0,938578817	16823,94457	9084,203334	690	372,5701944	1400	208	77,00	248	40,14	202	75	2250,14
Napier	-39,48333	176,91667	-0,689114108	3,087778393	Kingston	17,99702	-76,79358	0,314107255	-1,340300815	-176,6025627	-0,651186707	0,162737521	5290,958029	2856,888785	12400	6695,464363	3100	668	170,50	217,95	36,25	290	75	4557,7
Navegantes	-26,89940	-48,65530	-0,469483097	-0,849195184	Barcadera	12,51106	-69,97422	0,21835919	-1,221280531	48,87366	-0,751797434	0,405809798	8800,157583	4751,704958	2500	1349,892009	5126	149	281,93	215,77	73,39	485	75	6406,09
Navegantes	-26,89940	-48,65530	-0,469483097	-0,849195184	Willemstad	12,10840	-68,93354	0,211331447	-1,203117238	48,86663	-0,733634141	0,409498218	8847,978238	4777,526047	2530	1366,090713	2200	149	121,00	215,77	73,39	485	75	3319,16
New Orleans	29,95465	-90,07507	0,522807269	-1,572106545	Puerto Cabello	10,46670	-68,01670	0,182678377	-1,187115361	90,25774838	-1,70992263	0,542884665	10554,65199	5699,05615	3350	1808,855292	2455	386	135,03	420	50	350	75	3871,025
New Orleans	29,95465	-90,07507	0,522807269	-1,572106545	La Guaira	10,59574	-66,95663	0,18493055	-1,16861365	90,26000055	-1,691420918	0,548482279	10626,27676	5737,730434	3380	1825,053996	2455	386	135,03	420	50	350	75	3871,025
New York	40,71427	-74,00597	0,710598064	-1,291647843	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	74,18747936	-2,028573675	0,449777562	9366,528105	5057,520575	3250	1754,859611	840	386	46,20	420	50	110	75	1927,2
Ningbo	29,87819	121,62039	0,52147279	2,122676243	Baltimore	39,29038	-76,61219	0,685746495	-1,337134963	-120,9346435	-1,858607753	0,183508148	5640,85197	3045,816398	11200	6047,516199	1400	868	77,00	90,78	65,36	160,71	75	2736,85
Norfolk	36,84681	-76,28522	0,643098153	-1,33142826	Charleston	32,77657	-79,93092	0,572059064	-1,395057728	76,85727906	-2,038155882	0,829479217	14591,05224	7878,537927	500	269,9784017	1400	178	77,00	440	50	420	75	2640
Norfolk	36,84681	-76,28522	0,643098153	-1,33142826	Port Everglades	25,85760	-81,38660	0,451300257	-1,420464137	76,73652026	-2,06356229	0,803508539	14163,35697	7647,600954	1055	569,6544276	1400	178	77,00	440	50	420	75	2640
Oakland	37,76990	-122,22600	0,659209113	-2,133246132	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	122,40751	-1,977184724	0,340397876	7937,67119	4285,999563	7800	4211,663067	1400	386	77,00	420	50	110	75	2518
Paita	-5,08170	-81,17700	-0,088692397	-1,416805927	Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	81,34036	-1,305525479	0,347468611	8032,505694	4337,206098	4203	2269,438445	1110	149	61,05	75	55	303,82	75	1828,87
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	79,73885758	-1,550196206	0,435233167	9179,95898	4956,781307	7877	4253,239741	685	149	37,68	200	55	303,82	75	1505,495
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Port Everglades	25,85760	-81,38660	0,451300257	-1,420464137	80,02680026	-1,576442467	0,311120024	7539,572252	4071,043333	2681	1447,62419	515	386	28,33	200	55	440	75	1699,325
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	New York	40,71427	-74,00597	0,710598064	-1,291647843	80,28609806	-1,447626173	0,243191266	6571,054254	3548,085451	3200	1727,861771	515	386	28,33	200	55	440	75	1699,325
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Ningbo	29,87819	121,6203873	0,52147279	2,122676196	80,09697279	1,966697866	0,200482202	5915,474638	3194,100777	12400	6695,464363	420	89	23,10	200	55	90,78	75	952,88
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Busan	35,10168	129,03004	0,612639889	2,251999032	80,18813989	2,096020702	0,148083929	5033,208154	2717,714986	1050	566,9546436	420	208	23,10	200	55	106,51	75	1087,61
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	79,75700936	-1,473953941	0,446608007	9325,923009	5035,595577	571	308,3153348	710	149	39,05	200	55	110	75	1338,05
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Charleston	32,77657	-79,93092	0,572059064	-1,395057728	80,14755906	-1,551036058	0,271391961	6982,19503	3770,08371	1347	727,3218143	475	386	26,13	200	55	440	75	1657,125
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Savannah	32,08354	81,09983	0,559963409	1,415459056	80,13546341	1,259480726	0,337719213	7901,62099	4266,534012	3050	1646,868251	515	386	28,33	200	55	440	75	1699,325
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Willemstad	12,10840	-68,93354	0,211331447	-1,203117238	79,78683145	-1,359095568	0,462163168	9524,965149	5143,069735	1370	739,7408207	637	149	35,04	200	55	485	75	1636,035
Balboa	8,9553	-79,5558	0,156299471	-1,388510649	Norfolk	36,84681	-76,28522	0,643098153	-1,33142826	80,19889815	-1,48772773	0,262626128	6855,953718	3701,918854	7905	4268,358531	515	386	28,33	230	55	440	75	1729,325
Paranagua	-25,50469	-48,51082	-0,445140815	-0,846673532	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	48,69232936	-0,872834796	0,469048199	9612,90323	5190,5525	2860	1544,276458	800	149	44,00	228,49	73,39	110	75	1479,88
Paranagua	-25,50469	-48,51082	-0,445140815	-0,846673532	Busan	35,10168	129,03004	0,612639889	2,251999032	49,12345989	2,697139847	0,149807461	5064,049691	2734,368084	19050	10286,17711	900	208	49,50	228,49	73,39	106,51	75	1640,89
Philadelphia	39,95233	-75,16379	0,697299702	-1,311855614	Qingdao	36,02470	120,357	0,628749627	2,100625928	75,79253963	1,403326225	0,366128606	8280,686898	4471,213228	1800	971,9222462	1400	868	77,00	420	50	95,75	75	2985,75
Pointe A Pitre	16,23824	-61,53211	0,283410753	-1,073937915	Marsaxlok	35,84194	14,54306	0,625559863	0,25382428	62,15766986	-0,029586472	0,109438944	4296,190559	2319,757321	9050	4886,609071	1400	208	77,00	361,29	40,14	125,96	75	2287,39
Pointe A Pitre	16,23824	-61,53211	0,283410753	-1,073937915	Leghorn	35,88556	14,5475	0,626321176	0,253901773	62,15843118	-0,02950898	0,109201154	4291,335555	2317,135829	7950	4292,656587	1400	208	77,00	361,29	40,14	189,87	75	2351,3
Port Chalmers	-45,81590	170,62135	-0,799638305	2,977904332	Genoa	44,42640	8,91519	0,775386955	0,155599419	-169,845963	0,955237724	0,09459669	3983,578783	2150,960466	20100	10853,13175	1400	594	77,00	420	54,19	189,87	75	2810,06
Port Everglades	25,85760	-81,38660	0,451300257	-1,420464137	Marseilles Fos	43,29695	5,38107	0,755674334	0,093917389	82,14227	-0,357382868	0,074167134	3514,503747	1897,680209	8630	4659,827214	1400	89	77,00	420	50	249,27	75	2360,27
Port Everglades	25,85760	-81,38660	0,451300257	-1,420464137	Barcelona	41,38879	2,15899	0,722370659	0,037681484	82,10897	-0,413618773	0,075278528	3541,432491	1912,220567	8200	4427,645788	1400	89	77,00	420	50	244,98	75	2355,98
Port Everglades	25,85760	-81,38660	0,451300257	-1,420464137	Valencia	39,46975	-0,37739	0,688877092	-0,006586698	82,07548	-0,457886955	0,076367625	3567,644397	1926,373864	7620	4114,470842	1400	89	77,00	420	50	281,8	75	2392,8
Posorja	-2,71095	-80,25165	-0,047315003	-1,400655523	Pointe A Pitre	16,23824	-61,53211	0,283410753	-1,073937915	80,53506075	-1,026622912	0,326636506	7751,703759	4185,585183	4750	2564,794816	1400	445	77,00	190	30	361,29	75	2578,29
Posorja	-2,71095	-80,25165	-0,047315003	-1,400655523	Fort De France	14,60000	-61,08333	0,254818071	-1,066105227	80,50646807	-1,018790223	0,339549646	7926,262958	4279,83961	4650	2510,799136	528	445	29,04	190	30	369,97	75	1667,01
Poto Itapoa	-26,17904	-48,60622	-0,456910443	-0,848338576	Caucedo	18,42423	-69,6345	0,321563476	-1,215351298	48,92778348	-0,758440855	0,373016461	8371,600462	4520,302625	3250	1754,859611	1400	149	77,00	179,63	25,27	175	75	2080,9
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	79,75712437	-1,474197414	0,446498066	9324,514079	5034,834816	1090	588,5529158	1400	149	77,00	200	55	110	75	2066
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Buenaventura	3,96275	-77,37635	0,069163035	-1,350472071	79,64466303	-1,506450401	0,486632002	9837,188063	5311,656622	860	464,362851	86	149	4,73	200	55	100	75	669,73
Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	Paita	-5,08170	-81,17700	-0,088692397	-1,416805927	79,4868076	-1,572784257	0,537592234	10486,99608	5662,524879	1080	583,1533477	318	149	17,49	200	55	75	75	889,49
Puerto Barrios	15,72778	-88,59444	0,274501545	-1,546264677	Puerto De Posorja	-2,71748	-80,30042	-0,047428973	-1,40150672	88,54701103	-1,676008265	0,528422673	10369,90043	5599,298291	2480	1339,092873	1400	149	77,00	180	35	190	75	2106
Puerto Barrios	15,72778	-88,59444	0,274501545	-1,546264677	Guayaquil	-2,27850	-79,90790	-0,039767327	-1,394655953	88,55467267	-1,669157498	0,52793952	10363,73429	5595,968838	2260	1220,302376	1400	149	77,00	180	35	150	75	2066
Puerto Cabello	10,46670	-68,01670	0,182678377	-1,187115361	Moin Apm Terminals	10,00420	-83,07670	0,174606229	-1,449961947	68,19131	-1,632640324	0,436504214	9196,289553	4965,599111	1830	988,1209503	389	371	21,40	350	85	175	75	1466,395
Puerto Cabello	10,46670	-68,01670	0,182678377	-1,187115361	Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	68,19832	-1,500897461	0,403949599	8776,013994	4738,668463	830	448,1641469	427	149	23,49	350	85	110	75	1219,485
Puerto Cortes	-87,92968	15,82562	-1,534662426	0,276209175	Algericiras	36,13326	-5,45051	0,630644356	-0,095129345	-15,19497564	1,439533081	0,587098792	11123,0471	6005,964956	7500	4049,676026	841	371	46,26	180	55	244,98	75	1813,235
Puerto De Posorja	-2,71748	-80,30042	-0,047428973	-1,40150672	Chiwan	22,49090	113,8845	0,392540257	1,987659492	80,69296026	2,035088465	0,351195988	8082,315332	4364,101151	8558	4620,950324	1400	89	77,00	190	30	87,99	75	1948,99
Qingdao	36,02470	120,35700	0,628749627	2,100625928	Ningbo	29,87819	121,6203873	0,52147279	2,122676196	-119,83553	1,493926569	0,27498794	7033,609342	3797,845217	1150	620,950324	1400	57	77,00	95,75	63,46	90,78	75	1858,99
Qingdao	36,02470	120,35700	0,628749627	2,100625928	Shanghai	31,22222	121,45806	0,544930539	2,11984305	-119,81207	1,491093423	0,266199483	6907,574861	3729,792041	650	350,9719222	1400	57	77,00	95,75	63,46	94,76	75	1862,97
Rio De Janeiro	-22,90642	-43,18223	-0,399792449	-0,753672092	Qingdao	36,02470	120,357	0,628749627	2,100625928	43,81097963	2,500418377	0,514801002	10196,16532	5505,488835	19300	10421,16631	1400	208	77,00	145,07	82,9	95,75	75	2083,72
Rio De Janeiro	-22,90642	-43,18223	-0,399792449	-0,753672092	Busan	35,10168	129,03004	0,612639889	2,251999032	43,79486989	2,651791481	0,545209729	10584,39362	5715,115344	18600	10043,19654	1400	208	77,00	145,07	82,9	106,51	75	2094,48
Rio De Janeiro	-22,90642	-43,18223	-0,399792449	-0,753672092	Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	43,34558758	-0,994425427	0,254356837	6735,614542	3636,940897	5800	3131,74946	1325	149	72,88	145,07	82,9	303,82	75	2153,665
Rio Grande	-30,02770	-51,22870	-0,524082232	-0,894109487	Balboa	8,9553	-79,5558	0,156299471	-1,388510649	51,38500	-0,864428417	0,38088863	8475,091749	4576,18345	3150	1700,863931	1408	149	77,44	211,39	73,39	230	75	2224,22
Rio Haina	18,41700	-70,01900	0,321437288	-1,222062089	Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	70,18236	-1,715655164	0,607943661	11393,87612	6152,200929	2930	1582,073434	1450	149	79,75	175	55	303,82	75	2287,57
Rio Haina	18,41700	-70,01900	0,321437288	-1,222062089	Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	70,20062	-1,639656373	0,591895241	11185,16695	6039,506995	1160	626,349892	484	149	26,62	175	55	110	75	1074,62
Rotterdam	51,92423	4,50125	0,906248775	0,078561633	Caucedo	18,42423	-69,6345	0,321563476	-1,215351298	-4,179686524	-2,121600073	0,60248441	11322,72071	6113,780083	6850	3698,704104	1396	371	76,78	260,39	17,33	150	75	2346,5
Rotterdam	51,92423	4,50125	0,906248775	0,078561633	Singapure	1,25937	103,75445	0,021980153	1,810856766	-4,479269847	0,904607991	0,575487143	10973,09254	5924,995973	10500	5669,546436	415	356	22,83	260,39	17,33	170,42	75	1316,965
Salvador	-12,97111	-38,51083	-0,226388577	-0,672140781	Houston	29,75757	-95,3512	0,519367574	-1,664192386	39,03019757	-1,437803809	0,640422708	11821,20695	6382,941119	8558	4620,950324	305	386	16,78	195,71	73,39	440	75	1491,875
Salvador	-12,97111	-38,51083	-0,226388577	-0,672140781	Veracruz	19,47945	-99,08862	0,339980539	-1,72942267	38,85081054	-1,503034093	0,598993695	11277,31069	6089,260634	8559	4621,490281	1375	149	75,63	195,71	73,39	303,82	75	2247,545
San Antonio (Chile)	-33,59330	-71,62170	-0,586313692	-1,250034481	Kingston	17,99702	-76,79358	0,314107255	-1,340300815	71,93581	-0,753987124	0,870719558	15328,68219	8276,826238	8200	4427,645788	2032	149	111,76	115	55	250	75	2787,76
San Juan	18,46633	-66,10572	0,322298259	-1,153762468	Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	66,28734437	-1,640517343	0,454128558	9422,226436	5087,595268	1340	723,5421166	330	149	18,15	210	55	110	75	947,15
Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	Salvador	-12,97111	-38,51083	-0,226388577	-0,672140781	73,97265142	-0,868329577	0,490256779	9883,387413	5336,602275	2740	1479,481641	796	149	43,78	102	35	195,71	75	1396,49
Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	73,78084462	-1,004862845	0,60023276	11293,42184	6097,959959	2520	1360,691145	850	149	46,75	102	35	226,29	75	1484,04
Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	Paranagua	-25,50469	-48,51082	-0,445140815	-0,846673532	73,75389918	-1,042862328	0,618049667	11526,06953	6223,57966	2860	1544,276458	850	149	46,75	102	35	228,49	75	1486,24
Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	Navegantes	-26,89940	-48,65530	-0,469483097	-0,849195184	73,7295569	-1,04538398	0,629560442	11677,45823	6305,32302	2350	1268,898488	850	149	46,75	102	35	215,77	75	1473,52
Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	45,91541462	-0,390478674	0,653022215	11989,14934	6473,622753	0	0			0,00				75	
Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	Rio De Janeiro	-22,90642	-43,18223	-0,399792449	-0,753672092	45,93381755	-0,335476717	0,667730112	12187,02249	6580,465705	330	178,1857451	1400	149	77,00	226,29	73,39	145,07	75	2145,75
Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	46,51523437	-0,900023709	0,779265644	13783,08788	7442,272073	2280	1231,101512	800	149	44,00	226,29	73,39	110	75	1477,68
Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	Kingston	17,99702	-76,79358	0,314107255	-1,340300815	46,64771725	-0,92210544	0,811920673	14299,35576	7721,034426	4060	2192,224622	1430	149	78,65	226,29	73,39	250	75	2282,33
Savannah	32,08654	81,09983	0,560015769	1,415459056	New Orleans	29,95465	-90,07507	0,522807269	-1,572106545	-80,57702273	-2,132122314	0,829837771	14597,12873	7881,818966	1170	631,74946	1400	178	77,00	420	50	420	75	2620
Savannah	32,08654	81,09983	0,560015769	1,415459056	Colon container terminal	9,3589	-79,8997	0,163343619	-1,394512836	-80,93648638	-1,954528605	0,699001522	12615,4423	6811,793899	2380	1285,097192	615	386	33,83	420	50	200	75	1779,825
Savannah	32,08654	81,09983	0,560015769	1,415459056	Barranquilla	10,98300	-74,95000	0,191689512	-1,308124274	-80,90814049	-1,868140043	0,672494985	12251,58861	6615,328625	850	458,9632829	940	386	51,70	420	50	102	75	2024,7
Shanghai	31,22222	121,45806	0,544930539	2,11984305	Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	-121,2764356	-1,863149623	0,352248458	8096,357592	4371,683365	19000	10259,17927	4235	386	232,93	90,78	65,36	110	75	5195,065
Shanghai	31,22222	121,45806	0,544930539	2,11984305	Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	-121,2618712	-1,839948089	0,351491891	8086,264301	4366,233424	18942	10227,86177	4235	386	232,93	90,78	65,36	102	75	5187,065
Singapure	1,25937	103,75445	0,021980153	1,810856766	Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	-103,5910924	-1,416198029	0,582363732	11061,82727	5972,908894	14200	7667,386609	2400	386	132,00	156,62	72,85	303,82	75	3526,29
Southampton	50,89700	-1,40416	0,888320229	-0,024507215	Charlestan	32,77657	-79,93092	0,572059064	-1,395057728	1,976219064	-2,283377958	0,812520987	14309,14897	7726,322337	6680	3606,911447	1400	89	77,00	202	30	420	75	2293
Suape	-8,39438	-34,97405	-0,14650957	-0,610412325	Balboa	8,9553	-79,55580	0,156299471	-1,388510649	35,13034947	-1,242001079	0,61435725	11477,69609	6197,460092	2056	1110,151188	1450	149	79,75	240,47	73,39	230	75	2297,61
Sydney	-33,86785	151,20732	-0,591105493	2,639065587	Tauranga	-37,68611	176,16667	-0,657746702	3,074688424	-151,8650667	3,665793917	0,936131373	16759,59506	9049,457377	2208	1192,224622	786	223	43,23	395,61	78,99	217,95	75	1819,78
Tauranga	-37,68611	176,16667	-0,657746702	3,074688424	Sydney	-33,86785	151,20732	-0,591105493	2,639065587	-176,7577755	3,296812289	0,964210762	17589,9345	9497,804806	2208	1192,224622	786	223	43,23	217,95	36,25	395,61	75	1777,04
Tauranga	-37,68611	176,16667	-0,657746702	3,074688424	Melbourne	-37,82420	144,9679	-0,660156827	2,530167165	-176,8268268	3,187913866	0,955585625	17309,46011	9346,360749	2430	1312,095032	786	223	43,23	217,95	36,25	390,35	75	1771,78
Valencia	39,46975	-0,37739	0,688877092	-0,006586698	Port Chalmers	-45,8159	170,62135	-0,799638305	2,977904332	-0,422248305	2,289027239	0,581058392	11044,96797	5963,805597	20150	10880,12959	1400	594	77,00	281,8	65,03	420	75	2912,83
Valparaiso	-33,03932	-71,62625	-0,576644917	-1,250113893	Napier	-39,48333	176,91667	-0,689114108	3,087778393	70,93713589	3,66442331	0,042507078	2646,025956	1428,739717	8090	4368,25054	3698	668	203,39	150	40	217,95	75	5052,34
Veracruz	19,4795	-99,08862	0,339981412	-1,72942267	Tauranga	-37,68611	176,16667	-0,657746702	3,074688424	98,4308733	2,734707012	0,849697924	14942,21332	8068,149743	10596	5721,382289	3593	668	197,62	303,82	60	217,95	75	5115,385
Veracruz	19,4795	-99,08862	0,339981412	-1,72942267	Manzanillo (Mx)	19,11695	-104,34214	0,33365372	-1,821113892	99,42227372	-2,161095303	0,371284696	8348,775519	4507,978142	460	248,3801296	1400	149	77,00	303,82	60	303,82	75	2368,64
Veracruz Icave	19,4795	-99,08862	0,339981412	-1,72942267	Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	99,24459833	-1,728835891	0,432924457	9150,28231	4940,757187	1450	782,937365	860	149	47,30	303,82	60	200	75	1695,12
Willemstad	12,10840	-68,93354	0,211331447	-1,203117238	Cristobal	9,3544	-79,9066	0,16326508	-1,394633264	69,09680508	-1,605964711	0,502392257	10038,02566	5420,100248	1075	580,4535637	835	149	45,93	485	73,99	220	75	1883,915
Willemstad	12,10840	-68,93354	0,211331447	-1,203117238	Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	69,11516437	-1,529550531	0,463753197	9545,281138	5154,039491	5010	2705,183585	880	149	48,40	485	73,99	110	75	1821,39
Willemstad	12,10840	-68,93354	0,211331447	-1,203117238	Philadelphia	39,95233	-75,16379	0,697299702	-1,311855614	69,6308397	-1,523187061	0,424103208	9036,713644	4879,435013	3760	2030,237581	2700	386	148,50	485	73,99	440	75	4308,49
