Puerto salida	Puerto destino	Distancia recorrida (km)	Distancia (mn)	CO2 (t)	Nox (kg)	SOx (kg)	PM10	CO2 (t/TEU)	CO2 (kg/TEU)	Nox (kg/TEU)	SOx (kg/TEU)	PM10 (kg/TEU)	Emisiones (USD/TEU*mn)
Cartagena CONTECAR	Santa Marta	222,00	119,87	140,27	1260,00	180,00	135,00	0,03	28,28	0,28	0,04	0,03	10,06167038
Cartagena CONTECAR	Suape	10779,00	5820,19	4294,17	59715,00	7830,00	5850,00	0,95	865,69	13,27	1,74	1,30	408,9783625
Cartagena CONTECAR	Veracruz	3044,00	1643,63	1076,00	16875,00	2205,00	1665,00	0,24	216,92	3,75	0,49	0,37	112,7849351
Cartagena CONTECAR	Paita	2374,00	1281,86	1286,91	13185,00	1710,00	1305,00	0,29	259,44	2,93	0,38	0,29	98,09870823
Cartagena CONTECAR	Puerto Cabello	2295,00	1239,20	873,18	12735,00	1710,00	1305,00	0,19	176,03	2,83	0,38	0,29	87,80239724
Cartagena CONTECAR	Caucedo	1653,00	892,55	520,66	9180,00	1215,00	900,00	0,12	104,96	2,04	0,27	0,20	59,82388603
Cartagena CONTECAR	Charleston	5780,00	3120,95	2814,30	31995,00	4185,00	3150,00	0,63	567,35	7,11	0,93	0,70	230,8904467
Cartagena CONTECAR	Busan	28937,00	15624,73	9113,90	160200,00	20835,00	15660,00	2,03	1837,33	35,60	4,63	3,48	1042,3543
Cartagena SPRC	salvador	6552,00	3537,80	2280,92	36270,00	4725,00	3555,00	0,51	459,83	8,06	1,05	0,79	241,0837777
Cartagena SPRC	philadelphia	7311,00	3947,62	1327,40	35460,00	4635,00	3510,00	0,29	267,60	7,88	1,03	0,78	216,5323959
Caucedo	Cartagena CONTECAR	1964,00	1060,48	1064,66	10890,00	1440,00	1080,00	0,24	214,63	2,42	0,32	0,24	81,19974505
Caucedo	Rotterdam	7630,00	4119,87	2528,78	42255,00	5535,00	4140,00	0,56	509,79	9,39	1,23	0,92	278,0627566
Caucedo	Rio Haina	1538,00	830,45	1412,37	8505,00	1170,00	900,00	0,31	284,73	1,89	0,26	0,20	77,84840844
Caucedo	Colon container terminal	2465,00	1330,99	1599,17	13680,00	1845,00	1395,00	0,36	322,39	3,04	0,41	0,31	108,8683501
Caucedo	Halifax	5434,00	2934,13	4137,71	30015,00	3960,00	2970,00	0,92	834,15	6,67	0,88	0,66	250,3512011
Caucedo	Cartagena SPRC	15755,00	8507,02	8113,19	82845,00	10800,00	8100,00	1,80	1635,59	18,41	2,40	1,80	614,7138742
Caucedo	singapure	21483,00	11599,89	6766,20	118935,00	15480,00	11610,00	1,50	1364,04	26,43	3,44	2,58	773,4964055
charlestan	balboa	40489,00	21862,31	12003,61	224145,00	29205,00	21915,00	2,67	2419,89	49,81	6,49	4,87	1442,05843
Charleston	Cartagena CONTECAR	3137,00	1693,84	1527,44	17370,00	2295,00	1710,00	0,34	307,93	3,86	0,51	0,38	125,4073659
Colon container terminal	barranquilla	594,00	320,73	633,74	3330,00	450,00	360,00	0,14	127,76	0,74	0,10	0,08	32,43658918
Colon container terminal	Manzanillo	30481,00	16458,42	11728,44	171765,00	22005,00	18720,00	2,61	2364,41	38,17	4,89	4,16	1207,32424
Cristobal	Cartagena CONTECAR	499,00	269,44	159,75	2835,00	405,00	315,00	0,04	32,21	0,63	0,09	0,07	19,4508361
Cristobal	Veracruz	3688,00	1991,36	1823,72	20835,00	2700,00	2025,00	0,41	367,66	4,63	0,60	0,45	149,4354374
Cristobal	Cartagena SPRC	13564,00	7323,97	7536,43	70695,00	9225,00	6930,00	1,67	1519,32	15,71	2,05	1,54	538,651892
Dunkirk	London Gateway	183,00	98,81	115,65	1035,00	135,00	135,00	0,03	23,31	0,23	0,03	0,03	8,825614897
Fort de France	Kingston	2114,00	1141,47	1145,97	11745,00	1530,00	1170,00	0,25	231,02	2,61	0,34	0,26	87,58122457
Fort de France	Pointe a Pitre	196,00	105,83	336,29	1125,00	180,00	135,00	0,07	67,79	0,25	0,04	0,03	14,08697708
Fort de France	Caucedo	1001,00	540,50	542,66	5580,00	765,00	585,00	0,12	109,40	1,24	0,17	0,13	42,40022125
Genoa	Marseilles Fos	374,00	201,94	342,90	2115,00	270,00	225,00	0,08	69,13	0,47	0,06	0,05	19,1391499
Guayaquil	Buenaventura	3144,00	1697,62	1793,75	17415,00	2295,00	1755,00	0,40	361,61	3,87	0,51	0,39	132,537908
Guayaquil	Moin APM Terminals	1805,00	974,62	978,48	10035,00	1305,00	990,00	0,22	197,26	2,23	0,29	0,22	74,57225444
Halifax	Port Everglades	3307,00	1785,64	2325,42	18270,00	2385,00	1800,00	0,52	468,80	4,06	0,53	0,40	147,8250765
Halifax	Southampton	6504,00	3511,88	3988,04	36045,00	4725,00	3555,00	0,89	803,98	8,01	1,05	0,79	278,4686222
Hamburg CTB	Antwerp	514,00	277,54	452,42	2880,00	405,00	315,00	0,10	91,21	0,64	0,09	0,07	26,06484498
Hamburg CTB	Cartagena CONTECAR	9052,00	4887,69	3000,06	50130,00	6525,00	4905,00	0,67	604,80	11,14	1,45	1,09	329,5967301
Houston	Puerto Cortes	1866,00	1007,56	1523,16	10350,00	1350,00	1035,00	0,34	307,06	2,30	0,30	0,23	88,687972
houston	Cristobal	4035,00	2178,73	1946,39	22320,00	2970,00	2205,00	0,43	392,39	4,96	0,66	0,49	161,0350409
houston	Veracruz	7144,00	3857,45	5239,89	39600,00	5175,00	3915,00	1,16	1056,34	8,80	1,15	0,87	325,1921447
Kingston	Puerto Cortes	1266,00	683,59	1033,38	7020,00	945,00	720,00	0,23	208,33	1,56	0,21	0,16	60,6905938
Kingston	Barranquilla	7137,00	3853,67	5858,73	39555,00	5220,00	3915,00	1,30	1181,10	8,79	1,16	0,87	338,9717025
Kingston	Moin APM Terminals	1109,00	598,81	700,65	6165,00	810,00	630,00	0,16	141,25	1,37	0,18	0,14	48,5842143
Kingston	Barcadera	1789,00	965,98	1151,42	9945,00	1305,00	990,00	0,26	232,12	2,21	0,29	0,22	78,19490335
Kingston	Buenaventura	2064,00	1114,47	1118,84	11430,00	1530,00	1125,00	0,25	225,55	2,54	0,34	0,25	85,10440699
Kingston	Caucedo	803,00	433,59	533,16	4455,00	585,00	440,00	0,12	107,48	0,99	0,13	0,10	35,33028617
Kingston	Cartagena SPRC	14642,00	7906,05	7509,87	76725,00	9990,00	7515,00	1,67	1513,96	17,05	2,22	1,67	569,5050909
Kingston	new orleans	3957,00	2136,61	1398,74	21915,00	2880,00	2160,00	0,31	281,98	4,87	0,64	0,48	146,4950723
La guaira	manzanillo	1846,00	996,76	1221,84	10260,00	1350,00	1035,00	0,27	246,32	2,28	0,30	0,23	81,7715098
La guaira	Cartagena CONTECAR	1113,00	600,97	441,18	6165,00	810,00	630,00	0,10	88,94	1,37	0,18	0,14	42,8182143
Le Havre	Montoir	809,00	436,83	511,11	4500,00	585,00	450,00	0,11	103,04	1,00	0,13	0,10	35,19547527
Le Havre	Rotterdam	440,00	237,58	172,26	2475,00	360,00	270,00	0,04	34,73	0,55	0,08	0,06	17,60688744
Leghorn	Genoa	148,00	79,91	80,24	855,00	135,00	90,00	0,02	16,18	0,19	0,03	0,02	6,495490615
London Gateway	Hamburg CTB	564,00	304,54	199,08	3150,00	450,00	315,00	0,04	40,13	0,70	0,10	0,07	21,23424267
London Gateway	Antwerp	118,00	63,71	74,57	675,00	90,00	90,00	0,02	15,03	0,15	0,02	0,02	5,790777342
Manzanillo	Panamá	2062,00	1113,39	1474,07	11385,00	1530,00	1215,00	0,33	297,17	2,53	0,34	0,27	95,09279788
manzanillo	balboa	42975,00	23204,64	13826,30	237,87	31005,00	23265,00	3,07	2787,34		6,89	5,17	972,08243
Mariel	Manzanillo	8254,00	4456,80	4577,87	45540,00	6030,00	4545,00	1,02	922,88	10,12	1,34	1,01	343,0814368
Miami	Kingston	2840,00	1533,48	3133,13	15660,00	2070,00	1575,00	0,70	631,63	3,48	0,46	0,35	152,9047068
Moin APM Terminals	Cartagena CONTECAR	820,00	442,76	518,04	4545,00	630,00	450,00	0,12	104,44	1,01	0,14	0,10	35,59749524
Moin APM Terminals	Cartagena SPRC	9210,00	4973,00	4565,34	46620,00	6075,00	4590,00	1,01	920,36	10,36	1,35	1,02	346,6886386
Montoir	Pointe a Pitre	6404,00	3457,88	4045,77	35460,00	4635,00	3465,00	0,90	815,61	7,88	1,03	0,77	275,8383071
New Orleans	Cartagena CONTECAR	2855,00	1541,58	1009,22	15840,00	2070,00	1575,00	0,22	203,46	3,52	0,46	0,35	106,1476312
Norfolk	Cartagena CONTECAR	3897,00	2104,21	2500,56	21645,00	3735,00	3150,00	0,56	504,10	4,81	0,83	0,70	197,1874051
Oakland	PSA Panama Int.	6535,00	3528,62	4302,41	36225,00	4770,00	3600,00	0,96	867,35	8,05	1,06	0,80	287,1356465
Paita	Puerto de Posorja	307,00	165,77	166,46	1710,00	225,00	180,00	0,04	33,56	0,38	0,05	0,04	12,98608124
Panama	Buenaventura	710,00	383,37	297,54	4,01	585,00	405,00	0,07	59,98	0,00	0,13	0,09	18,33387714
Panama	callao	3122,00	1685,75	1709,19	17280,00	2295,00	1710,00	0,38	344,57	3,84	0,51	0,38	129,2257926
Panama	Cartagena CONTECAR	1347,00	727,32	1129,91	7425,00	1035,00	765,00	0,25	227,79	1,65	0,23	0,17	65,20567355
