Origen			Destino			Costos logísticos real (USD)
Puerto	Latitud	Longitud	Puerto	Latitud	Longitud	
Manaus	-3,10194	-60,025	Suape	-8,39438	-34,97405	502304
Suape	-8,39438	-34,97405	Macapa	0,03889	-51,06639	59169
Baltimore	39,29038	-76,61219	Charleston	32,77657	-79,93092	2108750
Charleston	32,77657	-79,93092	Miami	25,7741667	-80,171111	2099840
Miami	25,7741667	-80,171111	New_Orleans	29,95465	-90,07507	1159452
New_Orleans	29,95465	-90,07507	New_York	40,71427	-74,00597	1463238
New_York	40,71427	-74,00597	Norfolk	36,84681	-76,28522	7219288
Norfolk	36,84681	-76,28522	Philadelphia	39,95233	-75,16379	1589971
Philadelphia	39,95233	-75,16379	Port_Everglades	25,8576	-81,3866	1635780
Port_Everglades	25,8576	-81,3866	Mariel	22,9919	-82,7667	1129980
Mariel	22,9919	-82,7667	Baltimore	39,29038	-76,61219	592515
